YYYY,State,components,ratio,score
2010,PA,1,0.8082894230572261,-0.06303847073890527
2010,PA,2,0.8916503584839262,0.07732672053021014
2010,PA,3,0.91469187176305,0.6802576040083139
2010,PA,4,0.9334287925963503,0.014011585017029904
2010,PA,5,0.9460286345659523,-0.4280265056434451
2010,PA,6,0.9547824171070819,0.36977023399239073
2010,PA,7,0.9630651530409478,-0.058621274317751326
2010,PA,8,0.9701035811331359,0.206594896214856
2010,PA,9,0.9752974879542711,0.308568744019072
2010,PA,10,0.9788937675930028,0.02657409464586603
2011,PA,1,0.8096814185838247,0.12235209583364304
2011,PA,2,0.8917078816732779,0.4541183578480175
2011,PA,3,0.9152569788186472,-0.003753253917073762
2011,PA,4,0.933524875069622,0.3180723547345987
2011,PA,5,0.9455551042630514,0.37914941849137723
2011,PA,6,0.9543135403906895,-0.09312761114484322
2011,PA,7,0.9623520503515067,0.14181332216729506
2011,PA,8,0.9686706513970036,-0.7525763254993421
2011,PA,9,0.9740106044820269,0.5876439771915369
2011,PA,10,0.9788791327248914,-1.497872755327093
2012,PA,1,0.8169385574902203,-0.12502989893936328
2012,PA,2,0.8955924068860583,0.2992973151441683
2012,PA,3,0.9185642357837457,0.4303763670389814
2012,PA,4,0.9370225359379108,0.27449313664282665
2012,PA,5,0.9478912609393458,0.4797380812267651
2012,PA,6,0.9566605738807352,0.4599056397316977
2012,PA,7,0.964837468275977,0.2263931238864348
2012,PA,8,0.9707738443966211,0.35820384180975096
2012,PA,9,0.9756286672486337,0.7142651235676588
2012,PA,10,0.9796515432102423,0.08329606779045709
2013,PA,1,0.8203262447744877,-0.12493236141668917
2013,PA,2,0.8974984438803184,0.07072653973817786
2013,PA,3,0.9198875248991821,0.6095227463540717
2013,PA,4,0.9380558329440432,0.7431492536236131
2013,PA,5,0.9478734462784771,0.04228136880860802
2013,PA,6,0.9568921507645654,-0.03812635324291613
2013,PA,7,0.9644443775719459,0.594568490891416
2013,PA,8,0.970555413863347,0.693002659793388
2013,PA,9,0.9755672315803885,-0.17446766812701375
2013,PA,10,0.9799874187995012,0.522518081591963
2014,PA,1,0.8211593177616708,-1.6994285125165416
2014,PA,2,0.8983282938444493,0.17812973686751993
2014,PA,3,0.9202623145568475,0.5236928160075507
2014,PA,4,0.9376199389119872,0.666824205699686
2014,PA,5,0.9481780664762921,0.6613010989489607
2014,PA,6,0.9572526666768555,0.4557838707497215
2014,PA,7,0.9647390953057784,0.5961592858405529
2014,PA,8,0.9700615432103808,-0.09586180803090527
2014,PA,9,0.9751164171964098,0.11724978914444736
2014,PA,10,0.9792482518580098,-1.1457705352198109
2015,PA,1,0.8224175464859287,-0.11826836268414676
2015,PA,2,0.8982484020388617,-0.3954710760038803
2015,PA,3,0.9188543418038916,0.635939601350443
2015,PA,4,0.9368473716919061,0.19195778138932504
2015,PA,5,0.9478420640485936,-0.1401704346808402
2015,PA,6,0.9573920342597425,-0.18611695707395143
2015,PA,7,0.9647261703073602,0.33671029652310086
2015,PA,8,0.9706334599642205,0.48759236068257794
2015,PA,9,0.975684276244423,0.135743143174905
2015,PA,10,0.9801311265375058,0.22235161830057543
2016,PA,1,0.8213461508710062,-0.4209638036159816
2016,PA,2,0.8979629318493374,0.3387787938767202
2016,PA,3,0.9172327196419648,0.5217392504277245
2016,PA,4,0.9349014780609555,0.552459082113271
2016,PA,5,0.9451574339993971,0.5863009304050323
2016,PA,6,0.954536388716522,-1.1054708794909702
2016,PA,7,0.9626227070272656,0.7985565732535764
2016,PA,8,0.9703754713788373,0.5670625498247593
2016,PA,9,0.9752447677292477,0.7433517319374466
2016,PA,10,0.9796973734404417,0.4917862283323163
All,PA,1,0.5264319888427029,0.6654309809259149
All,PA,2,0.8229676838988731,0.6694372793758582
All,PA,3,0.8675260884432223,0.6093855480540847
All,PA,4,0.9014727122420174,0.7955329480585218
All,PA,5,0.9292998248973123,0.8433621444069427
All,PA,6,0.9447067400625415,0.8513043309995956
All,PA,7,0.9517359153561494,0.8907792260461186
All,PA,8,0.9578948237173615,0.897825200770282
All,PA,9,0.9630483584196198,0.8897202159082831
All,PA,10,0.9678839119137,0.9005600084713168
