b,a,1,2,3,4,5,6,7,8,9,10
257.6443225986907,227.98244543466686,237,261,324,341,268,174,139,108,130.54570475121724,167.01200013444483
493.3872902422663,451.7605994647594,458,431,436,378,368,423,371,315,323.3251863610163,288.09641510191085
294.7570354526454,293.9374203881826,311,300,329,243,216,171,194,263,261.06314394572735,263.85779058857787
425.1375374310096,389.7458387761207,412,403,473,481,364,292,255,228,253.58005878397435,286.322808888424
88.45518831792144,94.50998070938346,95,116,155,96,80,41,23,9,29.25086776883794,61.04626599670574
