b,a,1,2,3,4,5,6,7,8,9,10
584.3696278536976,458.43582001476284,460,419,540,766,1204,1167,998,874,864.9582856942781,477.8432716823985
659.9232538844043,623.140813244697,623,628,725,1120,1629,1821,2149,1992,1989.2927733356476,1787.0334619765913
1061.3393813841765,1130.2331851159267,1119,1187,988,912,1314,1274,1230,1330,1317.861461355451,1163.6043808615082
542.4171336910771,470.33391431796,471,418,618,863,1008,1296,1151,1322,1325.4122436966038,1172.8803996497497
44.1272888183383,72.5104728599369,72,91,114,145,147,263,250,141,141.84413844398878,138.2894307774017
